==================================
0: 1101000001 | Fitness Value: 4
1: 1111010010 | Fitness Value: 6
2: 1100011001 | Fitness Value: 5
3: 1100100000 | Fitness Value: 3
4: 1100011111 | Fitness Value: 7
5: 0001101010 | Fitness Value: 4
6: 0010000101 | Fitness Value: 3
7: 1111111001 | Fitness Value: 8
8: 0011101001 | Fitness Value: 5
9: 1010011011 | Fitness Value: 6
10: 1000010001 | Fitness Value: 3
11: 1010110101 | Fitness Value: 6
12: 1111100100 | Fitness Value: 6
13: 1110010011 | Fitness Value: 6
14: 0100110010 | Fitness Value: 4
15: 1011011001 | Fitness Value: 6
16: 1001001000 | Fitness Value: 3
17: 0101010010 | Fitness Value: 4
18: 1100100010 | Fitness Value: 4
19: 0110101010 | Fitness Value: 5
==================================
0: 1100011001 | Fitness Value: 5
1: 1111111111 | Fitness Value: 10
2: 1101011011 | Fitness Value: 7
3: 1011000001 | Fitness Value: 4
4: 1110000101 | Fitness Value: 5
5: 0010010011 | Fitness Value: 4
6: 1111010010 | Fitness Value: 6
7: 1100011001 | Fitness Value: 5
8: 1100100000 | Fitness Value: 3
9: 0001101010 | Fitness Value: 4
10: 0011101001 | Fitness Value: 5
11: 1010011011 | Fitness Value: 6
12: 1000010001 | Fitness Value: 3
13: 1010110101 | Fitness Value: 6
14: 1111100100 | Fitness Value: 6
15: 0100110010 | Fitness Value: 4
16: 1001001000 | Fitness Value: 3
17: 0101010010 | Fitness Value: 4
18: 1100100010 | Fitness Value: 4
19: 0110101010 | Fitness Value: 5
==================================
0: 1100111100 | Fitness Value: 6
1: 1001011010 | Fitness Value: 5
2: 0011001110 | Fitness Value: 5
3: 0011100100 | Fitness Value: 4
4: 1100100101 | Fitness Value: 5
5: 0111010100 | Fitness Value: 5
6: 1110110111 | Fitness Value: 8
7: 0100011011 | Fitness Value: 5
8: 1010110110 | Fitness Value: 6
9: 1000111110 | Fitness Value: 6
10: 1100100100 | Fitness Value: 4
11: 1101011100 | Fitness Value: 6
12: 0101010001 | Fitness Value: 4
13: 0011001101 | Fitness Value: 5
14: 0100100110 | Fitness Value: 4
15: 0111010100 | Fitness Value: 5
16: 1000010111 | Fitness Value: 5
17: 1000010010 | Fitness Value: 3
18: 1111110000 | Fitness Value: 6
19: 0011111111 | Fitness Value: 8
==================================
0: 1100110111 | Fitness Value: 7
1: 1000011100 | Fitness Value: 4
2: 0111010001 | Fitness Value: 5
3: 0101010100 | Fitness Value: 4
4: 0011011010 | Fitness Value: 5
5: 1001001110 | Fitness Value: 5
6: 0011110000 | Fitness Value: 4
7: 1111111111 | Fitness Value: 10
8: 1000011110 | Fitness Value: 5
9: 1000110010 | Fitness Value: 4
10: 0011100100 | Fitness Value: 4
11: 1100100101 | Fitness Value: 5
12: 1110110111 | Fitness Value: 8
13: 0100011011 | Fitness Value: 5
14: 1010110110 | Fitness Value: 6
15: 1100100100 | Fitness Value: 4
16: 1101011100 | Fitness Value: 6
17: 0010001101 | Fitness Value: 4
18: 0100100110 | Fitness Value: 4
19: 0111010100 | Fitness Value: 5
==================================
0: 1100010010 | Fitness Value: 4
1: 1111011001 | Fitness Value: 7
2: 0110100010 | Fitness Value: 4
3: 1100101010 | Fitness Value: 5
4: 1110010101 | Fitness Value: 6
5: 1010110011 | Fitness Value: 6
6: 1010011001 | Fitness Value: 5
7: 1011011011 | Fitness Value: 7
8: 0100110001 | Fitness Value: 4
9: 1000010010 | Fitness Value: 3
10: 1111100101 | Fitness Value: 7
11: 0010011001 | Fitness Value: 4
12: 1111101001 | Fitness Value: 7
13: 0011100100 | Fitness Value: 4
14: 1101000001 | Fitness Value: 4
15: 1100100000 | Fitness Value: 3
16: 1100011111 | Fitness Value: 7
17: 0000101010 | Fitness Value: 3
18: 1001001000 | Fitness Value: 3
19: 0101010010 | Fitness Value: 4
==================================
0: 0110111001 | Fitness Value: 6
1: 1111000010 | Fitness Value: 5
2: 0101001000 | Fitness Value: 3
3: 1001010010 | Fitness Value: 4
4: 0011111001 | Fitness Value: 6
5: 0010000100 | Fitness Value: 2
6: 1000000000 | Fitness Value: 1
7: 1100110010 | Fitness Value: 5
8: 1101000101 | Fitness Value: 5
9: 1111100001 | Fitness Value: 6
10: 1011011001 | Fitness Value: 6
11: 1010011011 | Fitness Value: 6
12: 1111110001 | Fitness Value: 7
13: 0100101001 | Fitness Value: 4
14: 1100010010 | Fitness Value: 4
15: 1100101010 | Fitness Value: 5
16: 1110010101 | Fitness Value: 6
17: 1011110011 | Fitness Value: 7
18: 1100011111 | Fitness Value: 7
